Date,Plated,Phage_Strain,Inoculum,Rep,Timepoint,Counts,Dilution,Titer,MannNormal,MannMutant,CountsOn19A,DilutionOn19A,TiterOn19A,Notes,,,,,,,,,,,
20190219,Coculture,cI26,Hi,2,0,NA,NA,1.00E+03,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Coculture,cI26,Hi,3,0,NA,NA,1.00E+03,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Coculture,28.11,Lo,1,0,NA,NA,1.00E+03,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Coculture,28.11,Lo,2,0,NA,NA,1.00E+03,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Coculture,28.11,Lo,3,0,NA,NA,1.00E+03,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Coculture,28.11,Hi,1,0,NA,NA,1.00E+03,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Coculture,28.11,Hi,2,0,NA,NA,1.00E+03,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Coculture,28.11,Hi,3,0,NA,NA,1.00E+03,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190220,Lysate,cI26,Lo,1,1,13,4,6.50E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Lysate,cI26,Lo,2,1,22,6,1.10E+10,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Lysate,cI26,Lo,3,1,5,5,2.50E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Lysate,cI26,Hi,1,1,6,7,3.00E+10,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Lysate,cI26,Hi,2,1,1,7,5.00E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Lysate,cI26,Hi,3,1,4,7,2.00E+10,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Lysate,28.11,Lo,1,1,9,4,4.50E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Lysate,28.11,Lo,2,1,15,5,7.50E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Lysate,28.11,Lo,3,1,14,4,7.00E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Lysate,28.11,Hi,1,1,12,3,6.00E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Lysate,28.11,Hi,2,1,4,3,2.00E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Lysate,28.11,Hi,3,1,9,3,4.50E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Coculture,cI26,Lo,1,1,13,5,1.30E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Coculture,cI26,Lo,2,1,1,5,1.00E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Coculture,cI26,Lo,3,1,6,5,6.00E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Coculture,cI26,Hi,1,1,9,4,9.00E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Coculture,cI26,Hi,2,1,5,4,5.00E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Coculture,cI26,Hi,3,1,10,5,1.00E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Coculture,28.11,Lo,1,1,1,1,1.00E+02,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Coculture,28.11,Lo,2,1,1,3,1.00E+04,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Coculture,28.11,Lo,3,1,0,1,0.00E+00,NA,NA,NA,NA,NA,"The lowest dilution plated was -1, which establishes limit of detection",,,,,,,,,,,
20190220,Coculture,28.11,Hi,1,1,0,1,0.00E+00,NA,NA,NA,NA,NA,"The lowest dilution plated was -1, which establishes limit of detection",,,,,,,,,,,
20190220,Coculture,28.11,Hi,2,1,4,1,4.00E+02,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190220,Coculture,28.11,Hi,3,1,0,1,0.00E+00,NA,NA,NA,NA,NA,"The lowest dilution plated was -1, which establishes limit of detection",,,,,,,,,,,
20190221,Lysate,cI26,Lo,1,2,24,6,1.20E+10,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Lysate,cI26,Lo,2,2,4,6,2.00E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Lysate,cI26,Lo,3,2,14,6,7.00E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Lysate,cI26,Hi,1,2,11,5,5.50E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Lysate,cI26,Hi,2,2,10,5,5.00E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Lysate,cI26,Hi,3,2,7,7,3.50E+10,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Lysate,28.11,Lo,1,2,32,2,1.60E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Lysate,28.11,Lo,2,2,29,3,1.45E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Lysate,28.11,Lo,3,2,15,3,7.50E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Lysate,28.11,Hi,1,2,12,3,6.00E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Lysate,28.11,Hi,2,2,21,2,1.05E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Lysate,28.11,Hi,3,2,0,0,0.00E+00,NA,NA,NA,NA,NA,Because this was a spot plate there truly must have been no pfus even at undiluted lysate,,,,,,,,,,,
20190221,Coculture,cI26,Lo,1,2,74,6,7.40E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Coculture,cI26,Lo,2,2,87,6,8.70E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Coculture,cI26,Lo,3,2,46,6,4.60E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Coculture,cI26,Hi,1,2,122,6,1.22E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Coculture,cI26,Hi,2,2,131,6,1.31E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Coculture,cI26,Hi,3,2,18,6,1.80E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Coculture,28.11,Lo,1,2,1,2,1.00E+03,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Coculture,28.11,Lo,2,2,24,2,2.40E+04,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Coculture,28.11,Lo,3,2,19,2,1.90E+04,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190221,Coculture,28.11,Hi,1,2,0,2,0.00E+00,NA,NA,NA,NA,NA,"This signifies that there were no bacteria counts at the -2 dilution, which sets the limit of detection",,,,,,,,,,,
20190221,Coculture,28.11,Hi,2,2,0,2,0.00E+00,NA,NA,NA,NA,NA,"This signifies that there were no bacteria counts at the -2 dilution, which sets the limit of detection",,,,,,,,,,,
20190221,Coculture,28.11,Hi,3,2,214,3,2.14E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Lysate,cI26,Lo,1,3,2,7,1.00E+10,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Lysate,cI26,Lo,2,3,4,7,2.00E+10,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Lysate,cI26,Lo,3,3,1,7,5.00E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Lysate,cI26,Hi,1,3,4,6,2.00E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Lysate,cI26,Hi,2,3,9,6,4.50E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Lysate,cI26,Hi,3,3,16,4,8.00E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Lysate,28.11,Lo,1,3,36,3,1.80E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Lysate,28.11,Lo,2,3,17,3,8.50E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Lysate,28.11,Lo,3,3,22,3,1.10E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Lysate,28.11,Hi,1,3,4,3,2.00E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Lysate,28.11,Hi,2,3,4,3,2.00E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Lysate,28.11,Hi,3,3,1,3,5.00E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Coculture,cI26,Lo,1,3,87,6,8.70E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Coculture,cI26,Lo,2,3,113,6,1.13E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Coculture,cI26,Lo,3,3,120,6,1.20E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Coculture,cI26,Hi,1,3,163,6,1.63E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Coculture,cI26,Hi,2,3,150,6,1.50E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Coculture,cI26,Hi,3,3,147,6,1.47E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Coculture,28.11,Lo,1,3,5,2,5.00E+03,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Coculture,28.11,Lo,2,3,46,3,4.60E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Coculture,28.11,Lo,3,3,93,5,9.30E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Coculture,28.11,Hi,1,3,114,1,1.14E+04,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Coculture,28.11,Hi,2,3,1,1,1.00E+02,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190222,Coculture,28.11,Hi,3,3,36,2,3.60E+04,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Lysate,cI26,Lo,1,4,28,6,1.40E+10,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Lysate,cI26,Lo,2,4,7,6,3.50E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Lysate,cI26,Lo,3,4,7,6,3.50E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Lysate,cI26,Hi,1,4,15,5,7.50E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Lysate,cI26,Hi,2,4,4,5,2.00E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Lysate,cI26,Hi,3,4,15,3,7.50E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Lysate,28.11,Lo,1,4,5,3,2.50E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Lysate,28.11,Lo,2,4,8,4,4.00E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Lysate,28.11,Lo,3,4,15,3,7.50E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Lysate,28.11,Hi,1,4,28,2,1.40E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Lysate,28.11,Hi,2,4,7,3,3.50E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Lysate,28.11,Hi,3,4,14,2,7.00E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Coculture,cI26,Lo,1,4,136,6,1.36E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Coculture,cI26,Lo,2,4,150,6,1.50E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Coculture,cI26,Lo,3,4,134,6,1.34E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Coculture,cI26,Hi,1,4,133,6,1.33E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Coculture,cI26,Hi,2,4,160,6,1.60E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Coculture,cI26,Hi,3,4,166,6,1.66E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Coculture,28.11,Lo,1,4,708,2,7.08E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Coculture,28.11,Lo,2,4,44,2,4.40E+04,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Coculture,28.11,Lo,3,4,6692,2,6.69E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Coculture,28.11,Hi,1,4,266,3,2.66E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Coculture,28.11,Hi,2,4,72,2,7.20E+04,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190223,Coculture,28.11,Hi,3,4,319,2,3.19E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Lysate,cI26,Lo,1,5,29,5,1.45E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Lysate,cI26,Lo,2,5,3,5,1.50E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Lysate,cI26,Lo,3,5,7,5,3.50E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Lysate,cI26,Hi,1,5,3,5,1.50E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Lysate,cI26,Hi,2,5,17,4,8.50E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Lysate,cI26,Hi,3,5,6,2,3.00E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Lysate,28.11,Lo,1,5,8,4,4.00E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Lysate,28.11,Lo,2,5,6,4,3.00E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Lysate,28.11,Lo,3,5,25,2,1.25E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Lysate,28.11,Hi,1,5,4,3,2.00E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Lysate,28.11,Hi,2,5,8,3,4.00E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Lysate,28.11,Hi,3,5,27,2,1.35E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Coculture,cI26,Lo,1,5,144,6,1.44E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Coculture,cI26,Lo,2,5,162,6,1.62E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Coculture,cI26,Lo,3,5,154,6,1.54E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Coculture,cI26,Hi,1,5,146,6,1.46E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Coculture,cI26,Hi,2,5,19,6,1.90E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Coculture,cI26,Hi,3,5,173,6,1.73E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Coculture,28.11,Lo,1,5,64,3,6.40E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Coculture,28.11,Lo,2,5,118,3,1.18E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Coculture,28.11,Lo,3,5,1472,5,1.47E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Coculture,28.11,Hi,1,5,7,2,7.00E+03,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Coculture,28.11,Hi,2,5,53,2,5.30E+04,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190224,Coculture,28.11,Hi,3,5,480,3,4.80E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Lysate,cI26,Lo,1,6,9,5,4.50E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Lysate,cI26,Lo,2,6,6,4,3.00E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Lysate,cI26,Lo,3,6,6,5,3.00E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Lysate,cI26,Hi,1,6,15,4,7.50E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Lysate,cI26,Hi,2,6,49,3,2.45E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Lysate,cI26,Hi,3,6,15,2,7.50E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Lysate,28.11,Lo,1,6,4,4,2.00E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Lysate,28.11,Lo,2,6,8,4,4.00E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Lysate,28.11,Lo,3,6,13,4,6.50E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Lysate,28.11,Hi,1,6,3,3,1.50E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Lysate,28.11,Hi,2,6,6,2,3.00E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Lysate,28.11,Hi,3,6,9,2,4.50E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Coculture,cI26,Lo,1,6,170,6,1.70E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Coculture,cI26,Lo,2,6,107,6,1.07E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Coculture,cI26,Lo,3,6,126,6,1.26E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Coculture,cI26,Hi,1,6,44,6,4.40E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Coculture,cI26,Hi,2,6,56,6,5.60E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Coculture,cI26,Hi,3,6,144,6,1.44E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Coculture,28.11,Lo,1,6,160,3,1.60E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Coculture,28.11,Lo,2,6,324,3,3.24E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Coculture,28.11,Lo,3,6,110,6,1.10E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Coculture,28.11,Hi,1,6,10,2,1.00E+04,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Coculture,28.11,Hi,2,6,111,2,1.11E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190225,Coculture,28.11,Hi,3,6,212,2,2.12E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Lysate,cI26,Lo,1,7,27,3,1.35E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Lysate,cI26,Lo,2,7,29,4,1.45E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Lysate,cI26,Lo,3,7,21,5,1.05E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Lysate,cI26,Hi,1,7,11,3,5.50E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Lysate,cI26,Hi,2,7,27,3,1.35E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Lysate,cI26,Hi,3,7,19,3,9.50E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Lysate,28.11,Lo,1,7,1,1,5.00E+03,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Lysate,28.11,Lo,2,7,10,4,5.00E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Lysate,28.11,Lo,3,7,30,4,1.50E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Lysate,28.11,Hi,1,7,42,1,2.10E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Lysate,28.11,Hi,2,7,3,2,1.50E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Lysate,28.11,Hi,3,7,20,2,1.00E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Coculture,cI26,Lo,1,7,177,6,1.77E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Coculture,cI26,Lo,2,7,164,6,1.64E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Coculture,cI26,Lo,3,7,147,6,1.47E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Coculture,cI26,Hi,1,7,65,6,6.50E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Coculture,cI26,Hi,2,7,98,6,9.80E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Coculture,cI26,Hi,3,7,55,6,5.50E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Coculture,28.11,Lo,1,7,134,6,1.34E+09,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Coculture,28.11,Lo,2,7,60,4,6.00E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Coculture,28.11,Lo,3,7,96,6,9.60E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Coculture,28.11,Hi,1,7,0,2,0.00E+00,NA,NA,NA,NA,NA,"Missed bacterial counts here, limit of detection was at -2 dilution but there are likely cfus at lower titer",,,,,,,,,,,
20190226,Coculture,28.11,Hi,2,7,25,2,2.50E+04,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190226,Coculture,28.11,Hi,3,7,6,2,6.00E+03,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190227,Lysate,cI26,Lo,1,8,10,3,5.00E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190227,Lysate,cI26,Lo,2,8,8,4,4.00E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190227,Lysate,cI26,Lo,3,8,28,4,1.40E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190227,Lysate,cI26,Hi,1,8,7,3,3.50E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190227,Lysate,cI26,Hi,2,8,20,3,1.00E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190227,Lysate,cI26,Hi,3,8,10,3,5.00E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190227,Lysate,28.11,Lo,1,8,0,0,0.00E+00,NA,NA,NA,NA,NA,"First day that I find no plaques here, even at undiuted 2uL spotted",,,,,,,,,,,
20190227,Lysate,28.11,Lo,2,8,46,4,2.30E+08,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190227,Lysate,28.11,Lo,3,8,6,2,3.00E+05,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190227,Lysate,28.11,Hi,1,8,7,3,3.50E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190227,Lysate,28.11,Hi,2,8,14,3,7.00E+06,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190227,Lysate,28.11,Hi,3,8,9,4,4.50E+07,NA,NA,NA,NA,NA,,,,,,,,,,,,
20190227,Coculture,cI26,Lo,1,8,186,6,1.86E+09,184,2,NA,NA,NA,First day started plating on Tmann and there are already mannose mutants,,,,,,,,,,,
20190227,Coculture,cI26,Lo,2,8,128,6,1.28E+09,128,0,NA,NA,NA,First day started plating on Tmann and there are already mannose mutants,,,,,,,,,,,
20190227,Coculture,cI26,Lo,3,8,77,6,7.70E+08,75,2,NA,NA,NA,First day started plating on Tmann and there are already mannose mutants,,,,,,,,,,,
20190227,Coculture,cI26,Hi,1,8,26,6,2.60E+08,23,3,NA,NA,NA,First day started plating on Tmann and there are already mannose mutants,,,,,,,,,,,
20190227,Coculture,cI26,Hi,2,8,56,6,5.60E+08,26,30,NA,NA,NA,First day started plating on Tmann and there are already mannose mutants,,,,,,,,,,,
20190227,Coculture,cI26,Hi,3,8,53,6,5.30E+08,52,1,NA,NA,NA,First day started plating on Tmann and there are already mannose mutants,,,,,,,,,,,
20190227,Coculture,28.11,Lo,1,8,119,6,1.19E+09,119,0,NA,NA,NA,First day started plating on Tmann and there are already mannose mutants,,,,,,,,,,,
20190227,Coculture,28.11,Lo,2,8,2,5,2.00E+06,2,0,NA,NA,NA,First day started plating on Tmann and there are already mannose mutants,,,,,,,,,,,
20190227,Coculture,28.11,Lo,3,8,167,6,1.67E+09,167,0,NA,NA,NA,First day started plating on Tmann and there are already mannose mutants,,,,,,,,,,,
